,Unnamed: 0,Unnamed: 0.1,Name,target,src
149,149,,43,We will hire a student to cover for you during your vacation. ,"
Is there anything you want to ask about this job?
Will i be the only one in it-support in the office?
I like my colleagues. anything else?
During my vacation who will do the support?"
65,65,65.0,65," Do you have any experience from working different shifts?
"," Are you able to work different shifts?
Yes, I do not mind working different shifts on different days.
"
125,125,,19,That sounds inspirational!,"
What's your best experience from your previous jobs?
When i worked for a political party when i was young. 
What made it a good experience?
It felt like a community and it was very meaningful for me to work there."
218,218,,115,I see. ,"
There is a hole in your resume around the year 2014. what happened then?
I was on maternity leave and after that i did not find a job immediately."
79,79,79.0,7," Great. What type of patients are you helping with?
"," If you are going to work in the healthcare industry, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
When I worked as a healthcare assistant, I worked with patients. I helped them with their basic hygiene activities.
"
188,188,,84,What kind of cars have you worked with?,"
What makes you a good fit as a car mechanic?
I am very good at fixing cars."
56,56,56.0,56," The work hours are between 8 AM - 17 PM. You will have a lunch break between 11.30 AM - 12.15 PM. 
"," Do you have any questions about the job?
Yes, what are the work hours?
"
25,25,25.0,25," Is you father a car mechanic as well?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have always worked with my father on various cars. We like to discuss all things related to cars.
"
153,153,,47,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as it-support of our office. what makes you a good fit?
I like to clean and fix computers and i am very careful and efficent."
143,143,,37,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as cleaner of our office. what about you as a person makes you a good cleaner?
I like to clean and tidy up and i am very careful and efficent."
160,160,,55,I understand. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as manager for our warehouse. what makes you suitable for this position?
I am good at organizing both people and administration."
45,45,45.0,45," I see, having fun at work is very important. Do you have any examples of how you maintain good relations with your colleagues?
"," Can you tell me about what type of relations you usually have with your colleagues?
I like working with them and I often have fun with them as well, but normally only during work time. I don't meet them much on my free time.
"
52,52,52.0,52," It depends on the day and time of day. But between 15-20 customers per day. 
"," Do you have any questions about this job?
Yes, how many customers does a taxi driver get per day?
"
226,226,,123,What made your manager nice to work with?,"
What’s your best experience from your previous jobs?
I worked with a nice manager in my second job. it was great."
54,54,54.0,54," How long have you had a drivers licence?
"," Our customers are spread across the city and our cleaners usually drive to the locations. Do you have a drivers licence?
Yes, I have a drivers licence.
"
197,197,,93,What kind of teaching did you do?,"
What is your best experience from your previous jobs?
I think that was when i worked as a teacher and i got to see the kids in my class understand a new subject. that was the best experince that i have ever had."
16,16,16.0,16," What is the relevant experience or education for working in the healthcare industry that you have?
"," What makes you a good fit?
I have both an education and relevant experience working in the health care industry.  
"
11,11,11.0,11," What kind of people have you cared for before?
"," What makes you a good fit?
I have a lot of patience working with people.
"
129,129,,23,"Okay, can you describe a situation where you had to stay calm?","
What makes you fit well as a police?
I think that i am very good at talking to people in difficult situations. i am good at being calm even though i am in a pressed situation."
21,21,21.0,21," How many days does it usually take for one vehicle repair to finish?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. For one vehicle , we are usually working with a team of two to three people.
"
47,47,47.0,47," Thank you. Is there any other specific reason that makes you apply for a job here?
"," Can you tell me about what you know about this company and our products?
Of course. I know that you are a big restaurant franchise and that your food is very popular. Everyone I know have heard about you and loves your food.
"
88,88,88.0,16," Yes. We will train you basic things about the shop regardless of your experience in the past.
"," Is there anything you want to ask about this job?
Do you offer on-the-job training?
"
152,152,,46,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as finance assistent. what makes you a good fit?
I am good at reading figures and is detailoriented. i always deliver on time."
80,80,80.0,8," We have open healthcare assistant jobs for pediatrics, maternity, and geriatrics right now. You will be assigned to the ward that is most relevant to your skills and experience. 
"," Is there anything you want to ask about this job?
Is there an open job position in the pediatric ward? If ever, can I help out there?
"
51,51,51.0,51," Have you ever worked the night shift before? One of our shifts is between 10 PM-06 AM.
"," Working as a taxi driver you need to be able to work during different time shifts. Is this okay for you?
Yes, this is fine. 
"
36,36,36.0,36," Do you have many friends that are working here. 
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
The salary is good and I have heard from some friends that this is a great place work.
"
27,27,27.0,27," That is impressive. Did it work?
"," What is your best experience from your previous jobs?
When I build my first engine. 
"
1,1,1.0,1," What course did you study?
"," What makes you a good fit?
I studied food safety and sanitation standards.
"
40,40,40.0,40," What is you favorite truck to drive? 
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
Driving is my passion and I like trucks. 
"
102,102,102.0,30," What is your working schedule in your past job look like?
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
It offers a steady paycheck and regular delivery schedules for me.
"
196,196,,92,What type of work did you do in the hospital?,"
What is your best experience from your previous jobs?
I like helping people, so when i worked as a nurse in the hospital i really felt that i made a difference in the world. "
165,165,,60,"There's five people in finance right now, but we might hire more people soon.","
Is there anything you want to ask about this job?
To whom will i report?
Your manager will be the cfo. anything else?
How many people work in finance?"
53,53,53.0,53," Great! How many years have you worked as a cleaner?
"," You have applied for one of our jobs as a cleaner. Have you previously worked in cleaning?
Hi, yes thats right. Yes I have previously worked as a cleaner. 
"
68,68,68.0,68," Have you got experience working any different jobs?
"," How long have you worked as a bartender for?
I have worked as a bartender for 3 years. 
"
75,75,75.0,3," Some other tasks that you can potentially take over include mentoring your acquaintances.
"," Is there anything you want to ask about this job?
Aside from baking pastries, what other tasks should I expect to take over?
"
7,7,7.0,7," That sounds good, but have you had any experience working with others in your profession?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have been on the board for my local football club for several years. 
"
59,59,59.0,59," Interesting, what projects have you worked on before?
"," What makes you a good fit?
I have a lot of experience in the field and have worked on a lot of different projects.
"
112,112,,6,Yes you would travel quite a lot during parts of the year.,"
What do you think seems fun about this job?
The job description said it included travelling. i like seeing new places and being on the move."
206,206,,103,What is your favourite meal to prepare?,"
What makes you fit well as a cook?
I love food, and i like to prepare food. "
222,222,,119,Do you take pride in being organized in your work?,"
What did your last employer like most about you?
They liked that i was very organized in my work, positive, and reliable."
48,48,48.0,48," Great! What have you heard about our company?
"," You have applied for the job as a Taxi Driver. What makes you interested in working for our company?
I am interested in working for your company because I have heard many great things about it.
"
64,64,64.0,64," It is a bonus if you get to know the client aswell, does this work for you?
"," Working as a security guard you need to be able to work in a pair together with a colleague. Does this work for you?
Yes, I am a sociable person and like working with people.
"
183,183,,78,Are you prepared to work full time or part time?,"
I see you have long experience of working in hospitals. how do you describe your personality?
I am kind and caring. i am considerate towards patients and detail oriented.
This job can be quite heavy, are you physically prepared for this?
Yes i am strong but i presume i will work together with a colleague."
110,110,,4,Yes it's a good location. where do you live?,"
What do you think seems fun about this job?
The location is really good. i live only five minutes away."
172,172,,67,Your manager will the cfo. anything else?,"
You have applied for the job as controller. what makes you a good fit?
I like figures and i am well organised. i always deliver on time.
I see. can you give an example of a situation where it was difficult to do so?
Once i did not recieve material in time from one of the employees and managed to explain in a nice way how important it was for the company to deliver reports on deadline.
Is there anything you want to ask about this job?
To whom will i report?"
94,94,94.0,22," How long did you drive on a day on your past job? (if any)
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
I like driving long roads.
"
132,132,,26,"Okay, for how long have you had your license?","
What makes you fit well as a taxi driver?
I'm good at driving cars. "
101,101,101.0,29," What other jobs did you have in the past?
"," What is your best experience from your previous jobs?
I like doing physically active jobs because I feel healthy.
"
187,187,,82,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and i'm always nice and pragmatic."
114,114,,8,Yes that's why we are looking for new competence. what is your experience with working in a team?,"
What do you think seems fun about this job?
It seems like a challening project."
191,191,,87,What would your perfect work day look like?,"
You have applied for the job as secretary. what do you think seems fun about this job?
I really like to work with other people, and by working as a secretary i will come in contact with a lot of different people."
69,69,69.0,69," Good, this position is for weekends only. Does this work for you?
"," Are you able to work weekends?
Yes, I am able to work weekends. 
"
91,91,91.0,19," How did you cooperate with your warehouse manager at that time?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked closely with the warehouse manager on my previous work.
"
19,19,19.0,19," That sounds interesting. Where did you do you volunteer work?
"," What is your best experience from your previous jobs?
I really liked when I did volunteer work. 
"
232,232,,129,"I see, and now you are thinking of moving to another industry?","
So, can you tell me a bit about yourself?
Sure. i am 27 years old and i have worked mostly within construction before. i got laid off due to economical reasons, where the company went bankrupt.
Oh, that must have been quite dramatic. were there any specific reason they went bankrupt?
I am not sure, i think it was a mix of bad luck and a recess in economy."
10,10,10.0,10," What is your job position while doing volunteer works?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I like caring for people. I had done volunteer works before in remote locations that lacked healthcare providers.
"
195,195,,91,Are there any old collegues that you are still friends with?,"
What is your best experience from your previous jobs?
I have always liked to get to know my collegues. it is so much fun to talk to new people. "
57,57,57.0,57," Great! We are looking to hire immediately.
"," If we choose to hire you, when can you start working?
I am currently in between jobs, therefore I can start working immediately. 
"
77,77,77.0,5," What are the usual people you encounter in your last job?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I think it is interesting to meet new people and keep them company until they get better.
"
177,177,,72,We follow the conditions by the union,"
What is most important for you in a this position?
To have a guiding manager
You will work close to your manager. anything else?
What will be my conditions if you employ me"
104,104,104.0,32," We both have open jobs for regular workers and on-call workers. Which one do you prefer?
"," Is there anything you want to ask about this job?
Is this a regular job or an on-call job?
"
118,118,,12,Okay and when can you start working?,"
You've applied for the job as nurse. what do you think is fun about this job?
It's a job where a lot of things happen and i like always having something to do and not being passive.
And have you worked as a nurse before?
Yes, for five years before my maternity leave."
76,76,76.0,4," Why do you like baking training?
"," What is your best experience from your previous jobs?
My best experience is being able to attend free baking training every year.
"
210,210,,107,What is your role in those planning sessions?,"
If you are going to work as a mail man, it is good if you have experience from working with others. can you tell me a little if you have such experience?
I often organise parties in my neighbourhood. we are often 3 to 4 people who plan everything from the food to the music. "
42,42,42.0,42," Ok, what is the job about then?
"," Is there anything you want to ask about this job?
No, I think that I understand what the job is about.
"
193,193,,89,Where did you volunteer?,"
If you are going to work as a medical doctor, it is good if you have experience from working with others. can you tell me a little if you have such experience?
I volunteered as an assistant for doctors without borders when i started medical school. "
81,81,81.0,9," Sounds interesting. What job role have you played while working there?
"," What is your best experience from your previous jobs?
When I did volunteer work for malnourished children in Asia.
"
115,115,,9,And how would you feel if you fail on a mission?,"
You've applied for the job as fireman. what do you think is fun about this job?
It makes me feel important to help people in difficult situations. "
97,97,97.0,25," Great. What else does your past employer give as a great offer to you back then?
"," What is your best experience from your previous jobs?
The best experience in my past job is when my employer takes care of our lodging when we do very long-hour drives.
"
216,216,,113,We are going through candidates but we hope that that the person we choose can start at the beginning of next month. ,"
Is there anything you want to ask about this job?
When can i start?"
62,62,62.0,62," Why do you think it will fit you well?
"," You have applied for the job as a security guard. What makes you interested in this position?
I am interested in becoming a security guard as I think it will fit me very well.
"
209,209,,106,Have you have any other experince in construction?,"
You have applied for the job as construction worker. what do you think seems fun about this job?
In general, i like to build things. being a part of that process really makes me want to perform. "
58,58,58.0,58," Great, you have a lot of experience. What do like about carpenting?
"," You have applied for the job as carpenter. How long have you worked with carpenting previously?
I started studying carpenting when I was 16 years old. I have worked with carpenting for 10 years, since I was 18 years old.
"
66,66,66.0,66," We have security guards at shopping centres, different shops, the subway as well as at different industrial locations.
"," Do you have any questions about the position?
Yes, what different places can I expect to work at?
"
121,121,,15,Did you work closely together with this person for a long time? what was the most valuably lesson they taught you?,"
What's your best experience from your previous jobs?
In my last job i had a very experienced senior who taught me a lot about programming."
215,215,,112,Do you have any management skills?,"
What makes you fit well as a manager?
I believe that i have a good overview of things and i think that i can get the best out of employees."
171,171,,66,What did you do about the situation?,"
You have applied for the job as manager for the administration. what makes you a good fit?
I have motivation for and skills for administration.
I see. can you give an example of a situation where it was difficult to do so?
When i hired the wrong person for the reception.
Why was it the wrong person?
The person did not take responsibility over their job."
119,119,,13,"I understand, because that's how i feel about working here!","
What's your best experience from your previous jobs?
I used to work at a small firm where we had a very tight team. it felt like a group of friends who happened to work together."
30,30,30.0,30," Some of our perks include a twenty percent discount on our items and monthly gift cards when you hit a required sale mark. 
"," Is there anything you want to ask about this job?
What perks do you offer for your workers?
"
105,105,105.0,33," What brand manufacturer of trucks had you driven before?
"," What is your best experience from your previous jobs?
Their trucks are always in good condition and undergo regular maintenance.
"
180,180,,75,Do you  have any references that can prove your personality?,"
What makes you interested in working in a nursery school?
I like children an i am very patient
Do you have any experience from working with children
No but i always had to take care of my brothers and sisters"
20,20,20.0,20," Do you have experience repairing trucks?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
It's interesting to work for a company that does repair big vehicles like you.
"
214,214,,111,How many were you in your team?,"
If you are going to work as a firefighter, it is good if you have experience from working with others. can you tell me a little if you have such experience?
I have worked as a firefighter before and we used to work in a team. "
133,133,,27,And if that does not work?,"
What makes you fit well as a nurse?
I am friendly with people, and am very good at calming sick people.
How do you handle someone who isn't calm?
I carefully explain what is going on and explain the medical procedure."
71,71,71.0,71," Currently there are 3 other bartenders working at the bar.
"," Do you have any questions about the position?
Yes, how many colleagues will I have?
"
205,205,,102,Which work task did you enjoy the most?,"
What is your best experience from your previous jobs?
I really liked my work tasks, they gave me meaning. "
107,107,,1,Yes we really do. what are you eager to learn specifically?,"
What do you think seems fun about this job?
I am eager to learn more about marketing and you have some very talented people here."
0,0,0.0,0," What baking skills do you already have?
"," You have applied for the job as baker. What do you think is interesting about this work?
I think it is interesting to learn new baking skills.
"
130,130,,24,What about it makes it fun? are you also good at working with others?,"
What makes you fit well as a construction worker?
I've always been good at working physically. i think it's fun."
178,178,,73,When can you start?,"
We would like to know what you think about working in a rehabilitation company
I am a positive person and believe in people's own possibilites and respect for integrity
Tell me about your education?
I have an education in sociologi
What do you know about us?
I know you as a company with a positive attitude to employees"
111,111,,5,Is variety in your job important to you?,"
What do you think seems fun about this job?
The job description said it included a lot of variety. i think that sounds good"
46,46,46.0,46," You can do both. First about you as a person and them about your work experience.
"," Tell me a bit about yourself.
Of course. Personally or about myself as a working person?
"
156,156,,50,"Okay, and for how long have you been working as a carpenter?","
You have applied for the job as carpenter. what makes you a good fit?
I am good at working with many different tools."
31,31,31.0,31," What is your work ethic?
"," What is your best experience from your previous jobs?
My best experience is when one of our regular customers appreciated my work ethic and gave me a holiday gift.
"
139,139,,33,I like my colleagues. anything else you're wondering?,"
Is there anything you want to ask about this job?
How do you like your collegues?"
60,60,60.0,60," Do you prefer working in a team than working alone?
"," This position requires you to work in a team of carpenters, have you got any experience with working in a team before?
Yes, I have worked with teams of carpenters before. 
"
230,230,,127,"Yes i can imagine, it is a rather unknown neighbourhood. anyhow, would you like a cup of coffee before we start?","
Welcome to this interview!
Thank you very much.
How was your trip? was it hard to find your way here?
I had some troubles yes, but i managed to find my way just in time."
200,200,,96,Is there anything related to being a chasier that you are not so good at?,"
What makes you fit well as a chasier?
I am friendly, i like to help people and i am quick at making simple calculations. "
92,92,92.0,20," The minimum shift is six hours a day while on busy days can go up to eight hours a day.
"," Is there anything you want to ask about this job?
How long are the shifts?
"
84,84,84.0,12," Yes. You will sign-up for at least one year of the work contract agreement.
"," Is there anything you want to ask about this job?
Am I going to work on a contract basis?
"
138,138,,32,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and i'm always nice and pragmatic."
211,211,,108,Do you think that you are a good leader?,"
You have applied for the job as lead developer. what do you think seems fun about this job?
I love to program and i love even more to tell other people what to do. "
199,199,,95,Are you a good driver?,"
What makes you fit well as a taxi driver?
I love to drive, and i like to talk to people. i am also very good at remebering street names. "
100,100,100.0,28," We have ten vacant jobs open. If you like, you can refer a friend.
"," Is there anything you want to ask about this job?
How many vacant jobs do you have right now?
"
203,203,,99,"We pay 25.000 sek each month. if you work overtime, you will get compensated for that as well. ","
Is there anything you want to ask about this job?
I wonder what the pay is?"
233,233,,130,"I see, and what interests you the most about this job?","
What makes you want to change career paths at this time?
Well, sometimes you come to a certain point in life where you feel that you are ready for new challenges, and a new day to day life."
182,182,,77,How would you describe yourself?,"
I see you have applied for a job as car mechanic
Yes i always loved to cars.
Have you any experience since before?
My father is a mechanical working in his own garage, and i have often helped him
Are you updated with the latest technology for cars?
Quite well"
